"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","24.4725","19.7109","22.3709","19.5358","22.4704"
"00:00:01","24.4726","19.7129","22.3692","19.5414","22.4631"
"00:00:02","24.4726","19.7148","22.3637","19.5471","22.4558"
"00:00:03","24.4728","19.7169","22.3529","19.5510","22.4468"
"00:00:04","24.4729","19.7188","22.3474","19.5548","22.4359"
"00:00:05","24.4730","19.7207","22.3401","19.5623","22.4286"
"00:00:06","24.4731","19.7264","22.3403","19.5662","22.4251"
"00:00:07","24.4733","19.7266","22.3258","19.5663","22.4179"
"00:00:08","24.4733","19.7303","22.3258","19.5719","22.4105"
"00:00:09","24.4734","19.7286","22.3149","19.5739","22.3996"
"00:00:10","24.4735","19.7287","22.3131","19.5777","22.3923"
"00:00:11","24.4736","19.7381","22.3076","19.5871","22.3906"
"00:00:12","24.4737","19.7382","22.3023","19.5928","22.3834"
"00:00:13","24.4738","19.7383","22.2913","19.5836","22.3724"
"00:00:14","24.4740","19.7329","22.2823","19.5838","22.3634"
"00:00:15","24.4740","19.7386","22.2732","19.5894","22.3616"
"00:00:16","24.4740","19.7423","22.2787","19.6006","22.3598"
"00:00:17","24.4743","19.7536","22.2771","19.6045","22.3526"
"00:00:18","24.4744","19.7500","22.2717","19.6027","22.3435"
"00:00:19","24.4745","19.7465","22.2608","19.6010","22.3418"
"00:00:20","24.4747","19.7429","22.2499","19.6049","22.3328"
"00:00:21","24.4748","19.7523","22.2536","19.6105","22.3237"
"00:00:22","24.4748","19.7449","22.2408","19.6125","22.3164"
"00:00:23","24.4749","19.7357","22.2317","19.6125","22.3091"
"00:00:24","24.4751","19.7433","22.2337","19.6202","22.3038"
"00:00:25","24.4751","19.7527","22.2283","19.6147","22.3020"
"00:00:26","24.4751","19.7508","22.2264","19.6184","22.2910"
"00:00:27","24.4752","19.7472","22.2265","19.6240","22.3002"
"00:00:28","24.4754","19.7566","22.2248","19.6261","22.2930"
"00:00:29","24.4755","19.7641","22.2231","19.6354","22.2931"
"00:00:30","24.4756","19.7569","22.2122","19.6356","22.2822"
"00:00:31","24.4758","19.7607","22.2123","19.6376","22.2805"
"00:00:32","24.4758","19.7626","22.2050","19.6413","22.2769"
"00:00:33","24.4759","19.7609","22.2033","19.6452","22.2733"
"00:00:34","24.4761","19.7610","22.1961","19.6360","22.2551"
"00:00:35","24.4762","19.7574","22.1833","19.6324","22.2460"
"00:00:36","24.4762","19.7538","22.1889","19.6344","22.2461"
"00:00:37","24.4764","19.7595","22.1817","19.6401","22.2426"
"00:00:38","24.4765","19.7651","22.1836","19.6513","22.2408"
"00:00:39","24.4766","19.7689","22.1726","19.6495","22.2390"
"00:00:40","24.4767","19.7654","22.1710","19.6516","22.2410"
"00:00:41","24.4769","19.7637","22.1766","19.6536","22.2375"
"00:00:42","24.4769","19.7711","22.1656","19.6573","22.2320"
"00:00:43","24.4771","19.7639","22.1585","19.6575","22.2212"
"00:00:44","24.4771","19.7565","22.1566","19.6501","22.2083"
"00:00:45","24.4773","19.7605","22.1440","19.6522","22.2067"
"00:00:46","24.4773","19.7605","22.1532","19.6541","22.2067"
"00:00:47","24.4776","19.7588","22.1406","19.6580","22.2069"
"00:00:48","24.4777","19.7608","22.1406","19.6506","22.1960"
"00:00:49","24.4778","19.7591","22.1335","19.6527","22.1925"
"00:00:50","24.4779","19.7554","22.1280","19.6546","22.1870"
"00:00:51","24.4780","19.7592","22.1262","19.6547","22.1761"
"00:00:52","24.4780","19.7649","22.1263","19.6603","22.1798"
"00:00:53","24.4782","19.7613","22.1173","19.6586","22.1799"
"00:00:54","24.4784","19.7652","22.1211","19.6681","22.1820"
"00:00:55","24.4784","19.7763","22.1248","19.6699","22.1783"
"00:00:56","24.4786","19.7710","22.1177","19.6720","22.1804"
"00:00:57","24.4787","19.7730","22.1196","19.6777","22.1749"
"00:00:58","24.4788","19.7767","22.1160","19.6759","22.1732"
"00:00:59","24.4788","19.7787","22.1198","19.6797","22.1769"
"00:01:00","24.4790","19.7788","22.1144","19.6836","22.1697"
"00:01:01","24.4792","19.7809","22.1109","19.6894","22.1681"
"00:01:02","24.4792","19.7846","22.1146","19.6894","22.1626"
"00:01:03","24.4794","19.7774","22.1092","19.6858","22.1646"
"00:01:04","24.4795","19.7813","22.1058","19.6934","22.1592"
"00:01:05","24.4796","19.7776","22.1058","19.6917","22.1520"
"00:01:06","24.4798","19.7815","22.0894","19.6955","22.1521"
"00:01:07","24.4799","19.7834","22.1042","19.7030","22.1577"
"00:01:08","24.4800","19.7892","22.1044","19.7051","22.1560"
"00:01:09","24.4802","19.7893","22.0953","19.7015","22.1451"
"00:01:10","24.4802","19.7782","22.0806","19.6996","22.1378"
"00:01:11","24.4803","19.7802","22.0881","19.7016","22.1379"
"00:01:12","24.4805","19.7803","22.0809","19.6944","22.1344"
"00:01:13","24.4806","19.7767","22.0792","19.7000","22.1271"
"00:01:14","24.4806","19.7824","22.0793","19.7039","22.1272"
"00:01:15","24.4808","19.7844","22.0794","19.7058","22.1274"
"00:01:16","24.4809","19.7807","22.0721","19.7041","22.1238"
"00:01:17","24.4810","19.7809","22.0668","19.7061","22.1258"
"00:01:18","24.4811","19.7810","22.0668","19.7043","22.1203"
"00:01:19","24.4813","19.7886","22.0744","19.7119","22.1186"
"00:01:20","24.4813","19.7942","22.0707","19.7194","22.1206"
"00:01:21","24.4815","19.7944","22.0746","19.7177","22.1207"
"00:01:22","24.4817","19.7945","22.0692","19.7197","22.1209"
"00:01:23","24.4816","19.7944","22.0673","19.7122","22.1153"
"00:01:24","24.4817","19.7983","22.0656","19.7180","22.1099"
"00:01:25","24.4818","19.7929","22.0620","19.7273","22.1100"
"00:01:26","24.4819","19.7948","22.0603","19.7255","22.1064"
"00:01:27","24.4822","19.7988","22.0661","19.7314","22.1122"
"00:01:28","24.4823","19.7989","22.0570","19.7333","22.1123"
"00:01:29","24.4824","19.8028","22.0553","19.7261","22.1088"
"00:01:30","24.4826","19.7992","22.0610","19.7281","22.1034"
"00:01:31","24.4827","19.7974","22.0463","19.7245","22.0961"
"00:01:32","24.4828","19.7975","22.0519","19.7227","22.0980"
"00:01:33","24.4829","19.8032","22.0484","19.7265","22.0945"
"00:01:34","24.4830","19.7977","22.0466","19.7322","22.0983"
"00:01:35","24.4831","19.7997","22.0467","19.7286","22.0928"
"00:01:36","24.4832","19.7980","22.0413","19.7287","22.0912"
"00:01:37","24.4834","19.8056","22.0342","19.7382","22.0950"
"00:01:38","24.4835","19.8001","22.0471","19.7364","22.0932"
"00:01:39","24.4835","19.7964","22.0398","19.7253","22.0841"
"00:01:40","24.4837","19.7947","22.0363","19.7311","22.0806"
"00:01:41","24.4839","19.7930","22.0309","19.7312","22.0826"
"00:01:42","24.4839","19.7987","22.0328","19.7331","22.0845"
"00:01:43","24.4841","19.7989","22.0330","19.7370","22.0755"
"00:01:44","24.4843","19.7954","22.0296","19.7354","22.0757"
"00:01:45","24.4843","19.7954","22.0241","19.7280","22.0702"
"00:01:46","24.4845","19.7974","22.0224","19.7356","22.0740"
"00:01:47","24.4846","19.8012","22.0280","19.7431","22.0833"
"00:01:48","24.4847","19.8013","22.0318","19.7470","22.0779"
"00:01:49","24.4849","19.8090","22.0302","19.7509","22.0782"
"00:01:50","24.4850","19.8016","22.0284","19.7454","22.0727"
"00:01:51","24.4851","19.8110","22.0322","19.7548","22.0746"
"00:01:52","24.4852","19.8148","22.0341","19.7567","22.0766"
"00:01:53","24.4854","19.8058","22.0196","19.7440","22.0694"
"00:01:54","24.4856","19.8041","22.0216","19.7441","22.0641"
"00:01:55","24.4856","19.8041","22.0161","19.7404","22.0549"
"00:01:56","24.4857","19.8005","22.0144","19.7406","22.0642"
"00:01:57","24.4859","19.8137","22.0238","19.7574","22.0718"
"00:01:58","24.4860","19.8194","22.0239","19.7594","22.0682"
"00:01:59","24.4861","19.8120","22.0222","19.7558","22.0701"
"00:02:00","24.4863","19.8234","22.0278","19.7653","22.0777"
"00:02:01","24.4864","19.8198","22.0243","19.7580","22.0649"
"00:02:02","24.4866","19.8051","22.0135","19.7507","22.0577"
"00:02:03","24.4867","19.8145","22.0062","19.7527","22.0578"
"00:02:04","24.4868","19.8071","22.0118","19.7583","22.0579"
"00:02:05","24.4870","19.8185","22.0175","19.7660","22.0618"
"00:02:06","24.4871","19.8149","22.0139","19.7642","22.0656"
"00:02:07","24.4871","19.8204","22.0121","19.7679","22.0619"
"00:02:08","24.4873","19.8225","22.0141","19.7663","22.0584"
"00:02:09","24.4875","19.8190","22.0088","19.7683","22.0604"
"00:02:10","24.4875","19.8228","22.0181","19.7665","22.0642"
"00:02:11","24.4877","19.8211","22.0090","19.7630","22.0551"
"00:02:12","24.4878","19.8193","22.0128","19.7649","22.0607"
"00:02:13","24.4880","19.8158","22.0075","19.7689","22.0555"
"00:02:14","24.4880","19.8251","22.0130","19.7633","22.0500"
"00:02:15","24.4882","19.8141","22.0040","19.7634","22.0501"
"00:02:16","24.4883","19.8143","22.0041","19.7636","22.0374"
"00:02:17","24.4885","19.8218","22.0079","19.7693","22.0522"
"00:02:18","24.4886","19.8257","22.0081","19.7788","22.0506"
"00:02:19","24.4886","19.8239","22.0063","19.7732","22.0432"
"00:02:20","24.4888","19.8278","22.0064","19.7678","22.0434"
"00:02:21","24.4891","19.8225","22.0049","19.7793","22.0511"
"00:02:22","24.4891","19.8206","22.0049","19.7774","22.0455"
"00:02:23","24.4893","19.8208","22.0032","19.7775","22.0420"
"00:02:24","24.4894","19.8265","21.9997","19.7777","22.0403"
"00:02:25","24.4896","19.8211","22.0072","19.7797","22.0460"
"00:02:26","24.4897","19.8249","22.0036","19.7817","22.0387"
"00:02:27","24.4897","19.8194","21.9945","19.7799","22.0407"
"00:02:28","24.4899","19.8252","22.0002","19.7782","22.0408"
"00:02:29","24.4900","19.8289","21.9911","19.7839","22.0390"
"00:02:30","24.4902","19.8199","21.9968","19.7729","22.0301"
"00:02:31","24.4904","19.8182","21.9878","19.7787","22.0357"
"00:02:32","24.4905","19.8221","21.9934","19.7788","22.0377"
"00:02:33","24.4907","19.8222","21.9881","19.7715","22.0324"
"00:02:34","24.4908","19.8130","21.9808","19.7698","22.0288"
"00:02:35","24.4909","19.8243","21.9920","19.7867","22.0345"
"00:02:36","24.4910","19.8170","21.9866","19.7793","22.0345"
"00:02:37","24.4911","19.8227","21.9867","19.7720","22.0255"
"00:02:38","24.4912","19.8135","21.9813","19.7740","22.0237"
"00:02:39","24.4914","19.8192","21.9851","19.7723","22.0294"
"00:02:40","24.4915","19.8250","21.9853","19.7761","22.0351"
"00:02:41","24.4916","19.8343","21.9982","19.7892","22.0462"
"00:02:42","24.4918","19.8308","21.9966","19.7895","22.0372"
"00:02:43","24.4920","19.8254","21.9876","19.7822","22.0319"
"00:02:44","24.4920","19.8347","21.9894","19.7859","22.0374"
"00:02:45","24.4922","19.8331","21.9952","19.7843","22.0358"
"00:02:46","24.4923","19.8276","21.9861","19.7825","22.0267"
"00:02:47","24.4925","19.8371","21.9862","19.7938","22.0360"
