"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","24.6566","21.1032","22.5845","20.0243","22.6932"
"00:00:01","24.6566","21.0480","22.5845","19.9540","22.6968"
"00:00:02","24.6567","20.9893","22.5883","19.8835","22.7043"
"00:00:03","24.6569","20.9306","22.5959","19.8280","22.7082"
"00:00:04","24.6571","20.8756","22.5997","19.7575","22.7120"
"00:00:05","24.6569","20.8166","22.5995","19.6868","22.7045"
"00:00:06","24.6571","20.7652","22.5960","19.6200","22.7047"
"00:00:07","24.6572","20.7139","22.6035","19.5645","22.7048"
"00:00:08","24.6574","20.6588","22.6000","19.5089","22.7160"
"00:00:09","24.6574","20.6036","22.6000","19.4382","22.7013"
"00:00:10","24.6575","20.5486","22.5891","19.3864","22.7051"
"00:00:11","24.6575","20.4971","22.5891","19.3307","22.7088"
"00:00:12","24.6577","20.4421","22.5856","19.2714","22.7053"
"00:00:13","24.6578","20.3907","22.5857","19.2158","22.6944"
"00:00:14","24.6578","20.3318","22.5821","19.1563","22.6871"
"00:00:15","24.6580","20.2731","22.5748","19.1044","22.6762"
"00:00:16","24.6582","20.2365","22.5713","19.0637","22.6874"
"00:00:17","24.6583","20.1851","22.5752","19.0082","22.6839"
"00:00:18","24.6582","20.1298","22.5677","18.9634","22.6727"
"00:00:19","24.6582","20.0856","22.5566","18.9114","22.6653"
"00:00:20","24.6583","20.0380","22.5641","18.8595","22.6655"
"00:00:21","24.6585","19.9866","22.5496","18.8039","22.6546"
"00:00:22","24.6586","19.9426","22.5424","18.7595","22.6511"
"00:00:23","24.6586","19.8911","22.5461","18.7224","22.6547"
"00:00:24","24.6589","19.8546","22.5316","18.6706","22.6366"
"00:00:25","24.6589","19.8026","22.5280","18.6260","22.6403"
"00:00:26","24.6593","19.7547","22.5246","18.5818","22.6259"
"00:00:27","24.6594","19.7177","22.5248","18.5373","22.6261"
"00:00:28","24.6594","19.6768","22.5174","18.4965","22.6224"
