"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:01:35","23.4284","22.0422","22.5429","22.2216","22.6111"
"00:01:36","23.4280","22.0381","22.5462","22.2176","22.6126"
"00:01:37","23.4276","22.0395","22.5384","22.2171","22.6103"
"00:01:38","23.4271","22.0317","22.5379","22.2203","22.6135"
"00:01:39","23.4267","22.0313","22.5394","22.2163","22.6131"
"00:01:40","23.4263","22.0419","22.5500","22.2250","22.6255"
"00:01:41","23.4259","22.0378","22.5588","22.2338","22.6307"
"00:01:42","23.4255","22.0393","22.5565","22.2389","22.6266"
"00:01:43","23.4250","22.0369","22.5615","22.2495","22.6316"
"00:01:44","23.4247","22.0366","22.5557","22.2547","22.6294"
"00:01:45","23.4242","22.0454","22.5626","22.2561","22.6345"
"00:01:46","23.4239","22.0339","22.5530","22.2483","22.6305"
"00:01:47","23.4234","22.0372","22.5544","22.2424","22.6263"
"00:01:48","23.4230","22.0441","22.5651","22.2475","22.6351"
"00:01:49","23.4226","22.0474","22.5610","22.2453","22.6329"
"00:01:50","23.4223","22.0452","22.5643","22.2394","22.6399"
"00:01:51","23.4217","22.0447","22.5656","22.2315","22.6412"
"00:01:52","23.4214","22.0481","22.5635","22.2201","22.6409"
"00:01:53","23.4211","22.0403","22.5594","22.2198","22.6387"
"00:01:54","23.4207","22.0381","22.5627","22.2120","22.6420"
"00:01:55","23.4202","22.0395","22.5660","22.2189","22.6434"
"00:01:56","23.4198","22.0390","22.5710","22.2166","22.6466"
"00:01:57","23.4194","22.0368","22.5688","22.2181","22.6444"
"00:01:58","23.4190","22.0420","22.5721","22.2251","22.6495"
"00:01:59","23.4186","22.0415","22.5717","22.2265","22.6509"
"00:02:00","23.4182","22.0356","22.5805","22.2298","22.6542"
"00:02:01","23.4178","22.0500","22.5875","22.2331","22.6649"
"00:02:02","23.4173","22.0513","22.5944","22.2381","22.6662"
"00:02:03","23.4170","22.0491","22.5848","22.2322","22.6604"
"00:02:04","23.4165","22.0395","22.5862","22.2410","22.6673"
"00:02:05","23.4161","22.0500","22.5912","22.2423","22.6668"
"00:02:06","23.4157","22.0478","22.5890","22.2457","22.6591"
"00:02:07","23.4153","22.0474","22.5849","22.2416","22.6697"
"00:02:08","23.4149","22.0489","22.5901","22.2522","22.6693"
"00:02:09","23.4145","22.0521","22.6007","22.2555","22.6726"
"00:02:10","23.4141","22.0646","22.5966","22.2514","22.6796"
"00:02:11","23.4137","22.0606","22.5962","22.2510","22.6736"
"00:02:12","23.4132","22.0546","22.5995","22.2524","22.6750"
"00:02:13","23.4129","22.0561","22.6010","22.2411","22.6802"
"00:02:14","23.4125","22.0649","22.6042","22.2296","22.6779"
"00:02:15","23.4120","22.0589","22.6075","22.2181","22.6812"
"00:02:16","23.4117","22.0640","22.6034","22.2122","22.6863"
"00:02:17","23.4113","22.0581","22.5993","22.2155","22.6823"
"00:02:18","23.4108","22.0650","22.6136","22.2206","22.6855"
"00:02:19","23.4104","22.0572","22.6076","22.2183","22.6887"
"00:02:20","23.4101","22.0514","22.6110","22.2198","22.6884"
"00:02:21","23.4097","22.0566","22.6143","22.2268","22.6936"
"00:02:22","23.4093","22.0562","22.6176","22.2264","22.6913"
"00:02:23","23.4089","22.0539","22.6153","22.2333","22.6872"
"00:02:24","23.4084","22.0516","22.6130","22.2439","22.6849"
"00:02:25","23.4081","22.0458","22.6072","22.2528","22.6883"
"00:02:26","23.4077","22.0564","22.6160","22.2598","22.6934"
"00:02:27","23.4073","22.0633","22.6174","22.2556","22.6966"
"00:02:28","23.4069","22.0629","22.6170","22.2442","22.6999"
"00:02:29","23.4064","22.0625","22.6221","22.2474","22.6976"
"00:02:30","23.4060","22.0566","22.6143","22.2379","22.6973"
"00:02:31","23.4057","22.0507","22.6121","22.2301","22.6895"
"00:02:32","23.4054","22.0578","22.6100","22.2298","22.6929"
"00:02:33","23.4049","22.0610","22.6187","22.2257","22.6943"
"00:02:34","23.4045","22.0495","22.6128","22.2271","22.6902"
"00:02:35","23.4042","22.0547","22.6161","22.2342","22.6899"
"00:02:36","23.4037","22.0598","22.6194","22.2355","22.6931"
"00:02:37","23.4033","22.0539","22.6153","22.2204","22.6945"
"00:02:38","23.4029","22.0534","22.6185","22.2126","22.6959"
"00:02:39","23.4025","22.0512","22.6236","22.2030","22.6955"
"00:02:40","23.4020","22.0434","22.6158","22.1971","22.6932"
"00:02:41","23.4017","22.0449","22.6118","22.1894","22.6966"
"00:02:42","23.4013","22.0463","22.6188","22.1853","22.6998"
"00:02:43","23.4008","22.0422","22.6238","22.1811","22.6976"
"00:02:44","23.4005","22.0437","22.6199","22.1827","22.7028"
"00:02:45","23.4001","22.0451","22.6231","22.1840","22.7023"
"00:02:46","23.3997","22.0466","22.6264","22.2021","22.7056"
"00:02:47","23.3993","22.0407","22.6278","22.2072","22.7052"
"00:02:48","23.3988","22.0402","22.6237","22.2067","22.7048"
"00:02:49","23.3985","22.0398","22.6270","22.2064","22.7026"
"00:02:50","23.3982","22.0432","22.6230","22.2190","22.6986"
"00:02:51","23.3976","22.0316","22.6225","22.2203","22.6980"
"00:02:52","23.3973","22.0368","22.6240","22.2310","22.7014"
"00:02:53","23.3969","22.0474","22.6217","22.2305","22.7102"
"00:02:54","23.3966","22.0453","22.6214","22.2321","22.7043"
"00:02:55","23.3963","22.0468","22.6303","22.2300","22.7059"
"00:02:56","23.3959","22.0538","22.6300","22.2241","22.7092"
"00:02:57","23.3955","22.0534","22.6351","22.2200","22.7143"
"00:02:58","23.3951","22.0585","22.6383","22.2177","22.7212"
"00:02:59","23.3947","22.0526","22.6361","22.2008","22.7098"
"00:03:00","23.3942","22.0466","22.6246","22.1948","22.7002"
"00:03:01","23.3939","22.0334","22.6243","22.1834","22.7035"
"00:03:02","23.3935","22.0422","22.6313","22.1941","22.7142"
"00:03:03","23.3932","22.0437","22.6272","22.1882","22.7101"
"00:03:04","23.3927","22.0432","22.6323","22.1932","22.7170"
"00:03:05","23.3923","22.0465","22.6392","22.1929","22.7130"
"00:03:06","23.3920","22.0370","22.6297","22.1998","22.7107"
"00:03:07","23.3916","22.0366","22.6256","22.1976","22.7049"
"00:03:08","23.3912","22.0362","22.6308","22.2065","22.7155"
"00:03:09","23.3908","22.0432","22.6396","22.2171","22.7207"
"00:03:10","23.3904","22.0428","22.6318","22.2149","22.7185"
"00:03:11","23.3901","22.0406","22.6278","22.2164","22.7107"
"00:03:12","23.3898","22.0495","22.6348","22.2142","22.7122"
"00:03:13","23.3892","22.0471","22.6361","22.2118","22.7135"
"00:03:14","23.3888","22.0449","22.6339","22.2170","22.7187"
"00:03:15","23.3885","22.0500","22.6391","22.2184","22.7183"
"00:03:16","23.3881","22.0515","22.6460","22.2089","22.7198"
"00:03:17","23.3878","22.0549","22.6384","22.2030","22.7231"
"00:03:18","23.3874","22.0508","22.6398","22.1916","22.7191"
"00:03:19","23.3870","22.0357","22.6358","22.1821","22.7169"
"00:03:20","23.3866","22.0445","22.6353","22.1871","22.7127"
"00:03:21","23.3862","22.0441","22.6386","22.1904","22.7160"
"00:03:22","23.3858","22.0400","22.6346","22.1864","22.7193"
"00:03:23","23.3854","22.0414","22.6360","22.1914","22.7189"
"00:03:24","23.3851","22.0430","22.6375","22.2003","22.7241"
"00:03:25","23.3846","22.0480","22.6407","22.2054","22.7255"
"00:03:26","23.3843","22.0385","22.6441","22.2235","22.7270"
"00:03:27","23.3838","22.0491","22.6473","22.2285","22.7210"
"00:03:28","23.3835","22.0543","22.6507","22.2282","22.7263"
